event_id,occurred_at,sku_id,channel,region,inventory,competitor_price_inr,demand_index,price_inr,units_sold,margin_inr,reward_inr
hist_1001_01,2026-07-01T10:00:00+05:30,SKU-1001,web,IN-MH,180,1199,0.61,1099,35,459,16065
hist_1001_02,2026-07-02T10:00:00+05:30,SKU-1001,web,IN-MH,168,1249,0.65,1199,41,559,22919
hist_1001_03,2026-07-03T10:00:00+05:30,SKU-1001,web,IN-MH,152,1279,0.7,1299,46,659,30314
hist_1001_04,2026-07-04T10:00:00+05:30,SKU-1001,web,IN-MH,140,1299,0.74,1349,45,709,31905
hist_1001_05,2026-07-05T10:00:00+05:30,SKU-1001,web,IN-MH,130,1329,0.79,1399,43,759,32637
hist_1001_06,2026-07-06T10:00:00+05:30,SKU-1001,web,IN-MH,116,1349,0.73,1499,35,859,30065
hist_1001_07,2026-07-07T10:00:00+05:30,SKU-1001,web,IN-MH,108,1289,0.68,1249,43,609,26187
hist_1001_08,2026-07-08T10:00:00+05:30,SKU-1001,web,IN-MH,100,1269,0.76,1329,47,689,32383
hist_1001_09,2026-07-09T10:00:00+05:30,SKU-1001,web,IN-MH,96,1319,0.81,1449,40,809,32360
hist_1001_10,2026-07-10T10:00:00+05:30,SKU-1001,web,IN-MH,92,1299,0.72,1299,46,659,30314
hist_1002_01,2026-07-01T10:00:00+05:30,SKU-1002,web,IN-KA,280,499,0.55,449,80,239,19120
hist_1002_02,2026-07-02T10:00:00+05:30,SKU-1002,web,IN-KA,260,529,0.62,499,86,289,24854
hist_1002_03,2026-07-03T10:00:00+05:30,SKU-1002,web,IN-KA,250,549,0.67,549,88,339,29832
hist_1002_04,2026-07-04T10:00:00+05:30,SKU-1002,web,IN-KA,240,559,0.72,599,82,389,31898
hist_1002_05,2026-07-05T10:00:00+05:30,SKU-1002,web,IN-KA,230,579,0.76,649,74,439,32486
hist_1002_06,2026-07-06T10:00:00+05:30,SKU-1002,web,IN-KA,210,599,0.7,699,62,489,30318
hist_1002_07,2026-07-07T10:00:00+05:30,SKU-1002,web,IN-KA,205,539,0.63,529,85,319,27115
hist_1002_08,2026-07-08T10:00:00+05:30,SKU-1002,web,IN-KA,198,549,0.69,579,84,369,30996
hist_1002_09,2026-07-09T10:00:00+05:30,SKU-1002,web,IN-KA,190,589,0.78,679,68,469,31892
hist_1002_10,2026-07-10T10:00:00+05:30,SKU-1002,web,IN-KA,184,559,0.73,599,81,389,31509
hist_1003_01,2026-07-01T10:00:00+05:30,SKU-1003,marketplace,IN-DL,90,2299,0.57,2199,24,1079,25896
hist_1003_02,2026-07-02T10:00:00+05:30,SKU-1003,marketplace,IN-DL,82,2399,0.61,2399,27,1279,34533
hist_1003_03,2026-07-03T10:00:00+05:30,SKU-1003,marketplace,IN-DL,78,2499,0.66,2499,29,1379,39991
hist_1003_04,2026-07-04T10:00:00+05:30,SKU-1003,marketplace,IN-DL,72,2599,0.73,2699,28,1579,44212
hist_1003_05,2026-07-05T10:00:00+05:30,SKU-1003,marketplace,IN-DL,68,2699,0.79,2899,24,1779,42696
hist_1003_06,2026-07-06T10:00:00+05:30,SKU-1003,marketplace,IN-DL,63,2599,0.69,2999,20,1879,37580
hist_1003_07,2026-07-07T10:00:00+05:30,SKU-1003,marketplace,IN-DL,60,2499,0.64,2599,29,1479,42891
hist_1003_08,2026-07-08T10:00:00+05:30,SKU-1003,marketplace,IN-DL,58,2549,0.71,2799,26,1679,43654
hist_1003_09,2026-07-09T10:00:00+05:30,SKU-1003,marketplace,IN-DL,54,2699,0.82,3199,18,2079,37422
hist_1003_10,2026-07-10T10:00:00+05:30,SKU-1003,marketplace,IN-DL,52,2599,0.74,2699,28,1579,44212
hist_1004_01,2026-07-01T10:00:00+05:30,SKU-1004,web,IN-TN,150,1299,0.58,1199,38,669,25422
hist_1004_02,2026-07-02T10:00:00+05:30,SKU-1004,web,IN-TN,142,1349,0.63,1299,43,769,33067
hist_1004_03,2026-07-03T10:00:00+05:30,SKU-1004,web,IN-TN,136,1399,0.68,1399,44,869,38236
hist_1004_04,2026-07-04T10:00:00+05:30,SKU-1004,web,IN-TN,128,1449,0.72,1499,42,969,40698
hist_1004_05,2026-07-05T10:00:00+05:30,SKU-1004,web,IN-TN,122,1499,0.76,1599,38,1069,40622
hist_1004_06,2026-07-06T10:00:00+05:30,SKU-1004,web,IN-TN,116,1499,0.7,1699,32,1169,37408
hist_1004_07,2026-07-07T10:00:00+05:30,SKU-1004,web,IN-TN,110,1399,0.65,1399,44,869,38236
hist_1004_08,2026-07-08T10:00:00+05:30,SKU-1004,web,IN-TN,104,1449,0.73,1549,40,1019,40760
hist_1004_09,2026-07-09T10:00:00+05:30,SKU-1004,web,IN-TN,100,1499,0.79,1749,29,1219,35351
hist_1004_10,2026-07-10T10:00:00+05:30,SKU-1004,web,IN-TN,94,1449,0.74,1499,42,969,40698
